"新指标无需填写，系统自动生成。
更新指标输入编号","必填：与选项保持一致
/
财务管理
仓储管理
产销协调
客服管理
商品企划
平台运营
营运管理
培训管理
旺礼卡管理",必填：与选项保持一致，选项在分类管理编得/新增，与业务域关联,必填：不可空值,"必填：与选项保持一致1级
2级
3级
4级","必填：与选项保持一致基础指标
存量指标
复合指标
派生指标
非量化指标","有值：指标编号
无值：不填写","必填：与选项保持一致无需计算
待计算
待验证
已上线
已下线",必填：不可空值,"有值：文本输入
无值：不填写","有值：与选项保持一致
无值：不填写或-等于-
考核指标
参考指标
一般指标
-","有值：数字
无值：不填写","有值：数字
无值：不填写","必填：与选项保持一致
见sheet2单位库","有值：文本
无值：不填写","有值：与选项保持一致
格式：XX部
无值：不填写","有值：工号
格式：000XXX23
无值：不填写","有值：姓名
无值：不填写","必填：与选项保持一致按时间进度
不按时间进度
不需计算","必填：与选项保持一致是
否",必填：文本输入,"有值：与选项保持一致
无值：不填写","有值：与选项保持一致
无值：不填写","有值：文本
无值：不填写","有值：与选项保持一致，多选用,隔开
时间维度
组织维度
产品维度
渠道维度
行政区划
岗位角色
无值：不填写","有值：文本
无值：不填写","有值：文本
无值：不填写","有值：文本
无值：不填写","有值：与选项保持一致
否或无值：等于否","有值：文本
无值：不填写","有值：与选项保持一致
否或无值：等于否","有值：文本
无值：不填写","有值：与选项保持一致
否或无值：等于否","有值：文本
无值：不填写","有值：与选项保持一致
否或无值：等于否","有值：文本
无值：不填写","有值：与选项保持一致
否或无值：等于否","有值：文本
无值：不填写",,,
90,平台运营,费用,平台运营费用率,1级,基础指标,,已上线,平台运营营销费用/财务收入（去税）,1.财务收入含旺旺经典品项；2.营销费用不含旺旺经典品项，成本用中间价成本，计算费用归属平台运营的：a.活动（折扣、赠品等，不包含运费）；b.手工单（福利捐赠、茶歇、试吃等），不含运费；通用sku算在总部；c.本月发放的旺金币金额*0.75；d.各项任务返利（现金领取），活动时间在当月；,一般指标,,,%,用于管控活动费用，以便合理调整相关主推政策,,,,不按时间进度,否,同月度逻辑,,,,,,,,,,,,,,,,,,陈晓琦,未在指定数据范围中找到对应值。,
91,营运管理,管理,客户净增人数,3级,派生指标,,已上线,本统计期末合伙人在职人数-上个统计期末合伙人在职人数；零食系统组和直营组指系统数,统计周期内最后一天在岗的所有类型合伙人；例：本月合伙人净增人数=本月底在岗人数-上月底在岗人数,一般指标,,,人,提升业务人数，提高市场覆盖率，提升业绩体量,,,,不按时间进度,是,同月度逻辑,,,,,ads,ads_bigtable_organization,kujzrs_91,是,,,,,,,,,每半小时,徐鑫,250725版,
92,商品企划,销售,产品选购率,2级,基础指标,,已上线,购买某品项的客户数/总交易客户数,客户以memberkey去重计数,一般指标,,,%,用于考量客户对产品销售的意愿度,,,,不按时间进度,是,同月度逻辑,,,,,,,,,,,,,,,,,,于寒丽,未在指定数据范围中找到对应值。,
93,营运管理,管理,需盘点客户数,1级,基础指标,,已下线,截止上月底下过单的，全职+承揽在职合伙人对应的意向客户数,一般指当月,一般指标,,,人,提醒业务进行盘点动作，提高动销，提升业绩体量,,,,不按时间进度,否,统计期末数据,,,,,,,,,,,,,,,,,,徐鑫,未在指定数据范围中找到对应值。,
94,财务管理,费用,市场费用率（财务）,1级,基础指标,,已上线,折扣折让&赠品&旺金币核销费用/财务收入（去税）,财务收入含旺旺经典品项,一般指标,,,%,展示部门用于市场推广费用情况，及评价费用的合理性,,,,不按时间进度,是,不需计算,,,,,,,,,,,,,,,,,,赵巧珍,未在指定数据范围中找到对应值。,
95,财务管理,费用,毛利,1级,基础指标,,已上线,财务收入（去税）-中间价成本,财务收入含旺旺经典品项,一般指标,,,元,反映部门销售产品盈利能力指标，超高超好,,,,按时间进度,是,不需计算,,,,,,,,,,,,,,,,,,赵巧珍,未在指定数据范围中找到对应值。,
96,财务管理,费用,中间价成本,1级,基础指标,,已上线,正常销售量*中间价成本单价,正常销量取常规订单，且非赠品的销量,一般指标,,,元,反映部门销售产品成本信息,,,,不需计算,是,不需计算,,,,,,,,,,,,,,,,,,赵巧珍,未在指定数据范围中找到对应值。,
97,财务管理,费用,中间价毛利率,1级,基础指标,,已上线,1-中间价成本/财务收入（去税）, ,一般指标,,,%,部门可以用后端活动费用投入的最高上限，反映部门销售产品的盈利水平；可进行不同部门的横向比较,,,,不按时间进度,是,不需计算,,,,,,,,,,,,,,,,,,赵巧珍,未在指定数据范围中找到对应值。,
98,财务管理,费用,原物料成本,1级,基础指标,,已上线,正常销售量*原物料成本单价,正常销量取常规订单，且非赠品的销量,一般指标,,,元,反映部门销售产品原辅料口径的成本，可用于新品上市定价辅助确认，考虑长期经验曲线效果,,,,不需计算,是,不需计算,,,,,,,,,,,,,,,,,,赵巧珍,未在指定数据范围中找到对应值。,
99,财务管理,费用,原物料毛利率,1级,基础指标,,已上线,1-原物料成本/财务收入（去税）, ,一般指标,,,%,计算原物料口径下产品盈利空间；及考察人工、固定成本部分占比，协助确定定价策略,,,,不按时间进度,是,不需计算,,,,,,,,,,,,,,,,,,赵巧珍,未在指定数据范围中找到对应值。,
100,财务管理,费用,边际贡献率,1级,基础指标,,已上线,边际贡献/财务收入（去税）,边际贡献=毛利-变动费用（折扣折让&促销费用、运费、税金及附加费用）,考核指标,,,元,反映部门销售收入扣减变动费用的部门贡献，指标超高超好,,,,不按时间进度,是,同月度逻辑,,,,,,,,,,,,,,,,,,赵巧珍,未在指定数据范围中找到对应值。,
101,财务管理,费用,业务用人费用率,1级,基础指标,,已上线,（合伙人+城市经理+区域/省区/大区总监+总督导用人费用）/财务收入（去税）,1.用人费用含薪资、绩效奖金、招聘服务费、推荐奖金、承揽服务费、差旅费等，不含创业补贴；2.财务收入含旺旺经典品项,考核指标,,,%,反映业务人员成本费用投入与产出关系,,,,不按时间进度,是,同月度逻辑,,,,,,,,,,,,,,,,,,赵巧珍,未在指定数据范围中找到对应值。,
